Insert Times,Search Times,Insert Collisions, Search Collisions
9.426e-08,2.082e-08,34,9
8.016e-08,2.134e-08,34,13
8.01e-08,2.165e-08,36,12
9.25e-08,2.069e-08,33,9
8.203e-08,2.129e-08,41,12
9.476e-08,2.134e-08,32,11
8.089e-08,2.092e-08,43,7
8.139e-08,2.33e-08,39,16
9.422e-08,2.024e-08,33,7
7.795e-08,2.152e-08,31,12
9.554e-08,2.105e-08,40,9
7.989e-08,2.129e-08,35,11
7.927e-08,2.11e-08,36,10
9.83e-08,2.102e-08,35,9
8.01e-08,2.363e-08,38,15
9.549e-08,2.114e-08,31,9
8.106e-08,2.016e-08,38,7
8.139e-08,2.108e-08,39,10
9.66e-08,2.252e-08,37,14
8.174e-08,2.101e-08,42,8
8.218e-08,2.153e-08,41,11
9.717e-08,2.272e-08,42,14
8.307e-08,2.363e-08,41,15
9.664e-08,2.134e-08,41,11
8.477e-08,2.082e-08,41,10
8.351e-08,2.003e-08,36,6
1.0176e-07,2.18e-08,40,10
8.576e-08,2.263e-08,53,14
9.914e-08,2.181e-08,40,9
8.379e-08,2.171e-08,41,9
8.506e-08,2.13e-08,43,11
9.554e-08,2.153e-08,37,9
8.523e-08,2.232e-08,46,17
9.709e-08,2.217e-08,42,14
8.46e-08,2.005e-08,39,6
8.087e-08,2.109e-08,38,11
9.908e-08,2.042e-08,39,7
8.428e-08,2.351e-08,39,17
9.584e-08,2.401e-08,46,17
8.049e-08,2.179e-08,38,11
8.184e-08,2.093e-08,44,7
9.823e-08,2.127e-08,43,9
8.17e-08,2.298e-08,44,17
8.394e-08,2.026e-08,43,5
9.864e-08,2.139e-08,47,6
8.385e-08,2.198e-08,43,12
9.856e-08,2.143e-08,38,11
8.331e-08,2.144e-08,41,10
8.297e-08,2.358e-08,40,16
9.769e-08,2.418e-08,42,13
8.164e-08,2.18e-08,35,7
9.791e-08,2.257e-08,48,12
8.295e-08,2.194e-08,36,12
8.415e-08,2.246e-08,43,13
9.891e-08,2.186e-08,49,10
8.557e-08,2.142e-08,49,10
1.0158e-07,2.276e-08,41,13
8.629e-08,2.282e-08,48,14
8.475e-08,2.321e-08,44,14
9.709e-08,2.196e-08,39,11
8.777e-08,2.314e-08,50,14
1.0223e-07,2.203e-08,40,11
8.29e-08,2.144e-08,46,8
8.59e-08,2.169e-08,50,11
1.0163e-07,2.265e-08,49,13
8.394e-08,2.26e-08,46,11
8.375e-08,2.217e-08,48,10
9.879e-08,2.124e-08,43,8
8.609e-08,2.591e-08,53,23
1.0643e-07,2.405e-08,48,16
8.36e-08,2.299e-08,49,13
8.589e-08,2.27e-08,54,10
1.0265e-07,2.409e-08,46,15
8.464e-08,2.346e-08,50,12
1.0212e-07,2.297e-08,55,14
8.573e-08,2.172e-08,44,11
9.045e-08,2.252e-08,54,11
9.832e-08,2.476e-08,44,21
8.481e-08,2.555e-08,39,20
1.0257e-07,2.34e-08,55,14
8.521e-08,2.388e-08,42,13
8.592e-08,2.364e-08,52,16
1.0051e-07,2.257e-08,57,13
8.526e-08,2.142e-08,41,10
8.329e-08,2.434e-08,43,18
1.0103e-07,2.441e-08,47,14
8.511e-08,2.301e-08,50,15
1.0362e-07,2.52e-08,47,18
8.808e-08,2.209e-08,50,11
8.641e-08,2.453e-08,48,15
9.999e-08,2.301e-08,42,14
8.738e-08,2.314e-08,48,14
1.0452e-07,2.294e-08,51,12
8.874e-08,2.424e-08,45,16
8.881e-08,2.328e-08,60,14
1.0474e-07,2.45e-08,51,18
8.64e-08,2.286e-08,48,13
1.0125e-07,2.459e-08,62,17
8.324e-08,2.028e-08,41,6
8.343e-08,2.129e-08,47,9
9.982e-08,2.07e-08,48,7
8.599e-08,2.276e-08,51,15
1.0256e-07,2.379e-08,53,13
9.087e-08,2.377e-08,55,17
8.499e-08,2.243e-08,45,12
1.0663e-07,2.341e-08,49,12
8.813e-08,2.531e-08,54,17
8.496e-08,2.523e-08,49,15
1.0275e-07,2.364e-08,55,14
8.939e-08,2.264e-08,52,13
1.0393e-07,2.489e-08,52,15
9.107e-08,2.559e-08,60,19
8.605e-08,2.613e-08,47,23
1.0195e-07,2.197e-08,46,8
8.998e-08,2.406e-08,54,16
1.0554e-07,2.205e-08,55,7
8.876e-08,2.291e-08,49,12
8.496e-08,2.341e-08,46,16
1.0082e-07,2.196e-08,43,9
8.719e-08,2.318e-08,56,14
1.0395e-07,2.308e-08,53,12
9.205e-08,2.439e-08,60,15
8.986e-08,2.303e-08,58,11
1.0397e-07,2.285e-08,47,13
9.094e-08,2.332e-08,59,14
1.0691e-07,2.31e-08,56,13
8.896e-08,2.372e-08,55,13
8.719e-08,2.226e-08,51,10
1.0918e-07,2.375e-08,69,15
8.94e-08,2.227e-08,50,12
8.714e-08,2.259e-08,47,9
1.0452e-07,2.618e-08,53,23
8.916e-08,2.358e-08,56,13
1.0423e-07,2.327e-08,55,9
8.98e-08,2.552e-08,55,19
8.607e-08,2.285e-08,47,13
1.0499e-07,2.318e-08,55,13
8.809e-08,2.544e-08,55,20
1.0517e-07,2.446e-08,57,18
8.839e-08,2.309e-08,51,13
9.122e-08,2.521e-08,57,20
9.963e-08,2.379e-08,51,15
8.847e-08,2.39e-08,52,17
1.0754e-07,2.257e-08,59,12
9.041e-08,2.403e-08,49,15
8.924e-08,2.491e-08,53,18
1.0475e-07,2.268e-08,60,11
8.76e-08,2.434e-08,60,17
9.157e-08,2.312e-08,55,12
1.0392e-07,2.287e-08,51,10
9.126e-08,2.422e-08,61,17
1.074e-07,2.4e-08,50,17
8.792e-08,2.612e-08,55,20
9.055e-08,2.395e-08,54,14
1.0407e-07,2.505e-08,53,17
1.0742e-07,2.267e-08,55,8
1.0397e-07,2.261e-08,62,12
8.806e-08,2.385e-08,59,15
9.275e-08,2.456e-08,58,19
1.0517e-07,2.424e-08,58,14
9.243e-08,2.461e-08,60,16
1.0545e-07,2.51e-08,65,16
9.031e-08,2.256e-08,55,9
9.375e-08,2.407e-08,64,13
1.0483e-07,2.385e-08,55,15
9.392e-08,2.395e-08,63,15
1.0773e-07,2.785e-08,54,22
9.006e-08,2.505e-08,59,19
2.2306e-07,2.562e-08,54,18
1.0945e-07,2.524e-08,59,19
8.832e-08,2.376e-08,60,15
9.001e-08,2.611e-08,59,23
1.0328e-07,2.399e-08,55,17
9.18e-08,2.427e-08,66,18
1.0683e-07,2.551e-08,62,18
9.021e-08,2.496e-08,55,19
8.857e-08,2.464e-08,56,16
1.0471e-07,2.277e-08,56,11
9.038e-08,2.41e-08,54,18
1.45e-07,2.605e-08,61,16
8.927e-08,2.544e-08,55,22
9.271e-08,2.556e-08,67,20
1.0327e-07,2.333e-08,60,15
9.131e-08,2.368e-08,56,17
1.0382e-07,2.556e-08,55,20
9.02e-08,2.667e-08,62,21
8.671e-08,2.653e-08,61,21
9.833e-08,2.722e-08,52,29
9.01e-08,2.406e-08,54,19
1.0725e-07,2.575e-08,64,20
8.902e-08,2.367e-08,60,17
9.076e-08,2.714e-08,60,25
1.037e-07,2.409e-08,62,17
8.949e-08,2.458e-08,62,20
8.775e-08,2.342e-08,51,16
1.0566e-07,2.474e-08,54,19
8.827e-08,2.779e-08,53,26
1.0164e-07,2.522e-08,56,20
8.758e-08,2.405e-08,61,13
9.125e-08,2.26e-08,58,11
1.1048e-07,2.371e-08,64,16
9.253e-08,2.591e-08,64,25
1.0201e-07,2.581e-08,59,17
8.862e-08,2.448e-08,62,16
8.564e-08,2.428e-08,52,19
1.0411e-07,2.494e-08,58,22
8.934e-08,2.374e-08,54,15
1.0517e-07,2.357e-08,64,15
8.969e-08,2.459e-08,61,16
9.113e-08,2.465e-08,68,17
1.102e-07,2.555e-08,59,20
8.953e-08,2.663e-08,59,26
9.242e-08,2.58e-08,63,20
1.0709e-07,2.46e-08,63,19
8.883e-08,2.461e-08,50,21
1.004e-07,2.375e-08,53,17
8.947e-08,2.549e-08,60,19
9.287e-08,2.639e-08,70,21
1.0724e-07,2.478e-08,60,18
9.126e-08,2.622e-08,61,21
1.0387e-07,2.264e-08,57,10
9.224e-08,2.772e-08,69,25
8.953e-08,2.712e-08,68,20
1.0894e-07,2.593e-08,61,21
