Insert Times,Search Times,Insert Collisions, Search Collisions
8.462e-08,2.297e-08,41,11
1.0184e-07,2.338e-08,43,15
8.455e-08,2.458e-08,42,14
8.503e-08,2.312e-08,44,11
9.949e-08,2.345e-08,52,14
8.477e-08,2.237e-08,40,12
9.984e-08,2.225e-08,50,11
8.481e-08,2.628e-08,49,20
8.517e-08,2.353e-08,39,11
9.904e-08,2.476e-08,43,13
8.517e-08,2.245e-08,45,11
8.6e-08,2.302e-08,41,14
1.016e-07,2.228e-08,44,13
8.413e-08,2.26e-08,41,12
9.894e-08,2.487e-08,50,15
8.632e-08,2.481e-08,42,14
8.614e-08,2.261e-08,54,8
1.0178e-07,2.715e-08,50,18
8.528e-08,2.345e-08,40,14
1.0107e-07,2.536e-08,51,10
8.682e-08,2.453e-08,57,13
8.921e-08,2.655e-08,51,20
1.0585e-07,2.831e-08,59,16
8.584e-08,2.466e-08,50,14
1.0542e-07,2.626e-08,50,16
8.688e-08,2.38e-08,44,9
8.68e-08,2.531e-08,53,13
1.0242e-07,3.078e-08,61,22
8.607e-08,2.187e-08,48,11
1.0039e-07,2.705e-08,54,14
8.872e-08,2.343e-08,53,12
8.79e-08,2.168e-08,53,9
1.0578e-07,3.095e-08,56,24
8.879e-08,2.379e-08,56,16
8.624e-08,2.357e-08,48,13
1.0264e-07,2.525e-08,51,15
8.843e-08,2.212e-08,55,9
1.0208e-07,2.703e-08,56,19
8.655e-08,2.774e-08,54,21
8.579e-08,2.392e-08,54,11
1.0186e-07,2.417e-08,63,14
8.782e-08,2.729e-08,55,14
1.0614e-07,3.089e-08,57,23
8.892e-08,2.253e-08,58,11
8.749e-08,2.465e-08,61,9
1.0204e-07,2.541e-08,54,20
8.836e-08,2.639e-08,56,14
1.0165e-07,2.817e-08,52,14
8.852e-08,2.714e-08,56,18
8.674e-08,2.821e-08,55,17
1.034e-07,2.607e-08,50,11
8.89e-08,2.695e-08,61,18
8.961e-08,2.801e-08,49,20
1.0356e-07,2.778e-08,60,16
8.93e-08,2.94e-08,60,17
1.0252e-07,2.626e-08,64,13
9.027e-08,2.871e-08,53,16
8.855e-08,2.803e-08,60,17
1.0322e-07,2.784e-08,62,20
8.882e-08,2.997e-08,56,18
1.0182e-07,2.493e-08,64,15
8.845e-08,2.748e-08,51,15
8.823e-08,2.89e-08,64,16
1.0515e-07,2.866e-08,62,18
9.174e-08,2.701e-08,61,16
1.0189e-07,2.963e-08,58,19
8.96e-08,2.776e-08,63,18
8.822e-08,2.672e-08,64,18
1.0375e-07,3.487e-08,65,31
8.883e-08,3.144e-08,66,20
1.0298e-07,3.261e-08,72,20
8.812e-08,2.791e-08,69,17
8.804e-08,3.164e-08,60,21
1.0682e-07,2.848e-08,64,16
8.883e-08,2.965e-08,69,22
8.85e-08,2.749e-08,60,17
1.043e-07,3.005e-08,68,18
8.889e-08,3.065e-08,58,25
1.0156e-07,2.907e-08,57,23
8.94e-08,2.917e-08,63,20
8.75e-08,2.997e-08,58,20
1.0494e-07,2.932e-08,62,21
9.159e-08,2.841e-08,72,22
1.0437e-07,2.755e-08,50,18
8.964e-08,3.331e-08,62,29
9.128e-08,3.393e-08,62,24
1.0237e-07,3.18e-08,65,24
9.01e-08,3.464e-08,67,26
1.03e-07,2.667e-08,70,16
8.904e-08,3.115e-08,64,20
8.829e-08,3.197e-08,68,23
1.0583e-07,2.838e-08,65,20
9.06e-08,2.945e-08,73,16
1.073e-07,3.18e-08,69,24
9.186e-08,3.282e-08,73,21
9.289e-08,3.367e-08,68,25
1.0526e-07,3.182e-08,73,25
8.958e-08,3.616e-08,74,26
8.992e-08,2.693e-08,65,14
1.042e-07,2.991e-08,63,19
9.078e-08,2.609e-08,64,13
1.0497e-07,3.109e-08,65,22
9.062e-08,3.202e-08,71,18
9.121e-08,3.436e-08,76,24
1.0994e-07,3.103e-08,67,21
9.17e-08,3.123e-08,72,20
1.0637e-07,3.092e-08,73,24
9.091e-08,3.345e-08,64,24
9.208e-08,3.239e-08,74,20
1.0529e-07,2.938e-08,74,19
9.06e-08,3.807e-08,71,25
1.0572e-07,3.704e-08,77,29
9.211e-08,3.35e-08,72,27
9.279e-08,2.835e-08,68,15
1.1146e-07,3.488e-08,71,27
9.33e-08,2.969e-08,75,16
9.127e-08,2.821e-08,73,17
1.0604e-07,3.456e-08,74,22
9.577e-08,3.358e-08,74,23
1.1006e-07,3.314e-08,82,23
9.544e-08,3.236e-08,78,24
9.68e-08,3.199e-08,79,20
1.0951e-07,3.217e-08,70,17
9.578e-08,3.265e-08,74,22
2.5217e-07,3.014e-08,81,21
9.208e-08,3.05e-08,72,21
9.377e-08,3.338e-08,66,27
1.1043e-07,3.058e-08,78,20
9.184e-08,3.025e-08,84,22
1.1196e-07,3.1e-08,74,20
9.286e-08,3.174e-08,79,20
9.438e-08,3.607e-08,77,31
1.0832e-07,3.379e-08,71,28
