Insert Times,Search Times,Insert Collisions, Search Collisions
8.786e-08,1.796e-08,39,1
7.539e-08,1.969e-08,37,5
7.374e-08,1.852e-08,35,4
8.866e-08,1.982e-08,39,5
7.141e-08,1.93e-08,31,6
8.663e-08,1.893e-08,35,4
7.612e-08,1.973e-08,39,6
7.541e-08,1.799e-08,40,3
8.957e-08,1.802e-08,40,2
7.533e-08,2.068e-08,38,7
8.729e-08,1.82e-08,41,4
7.526e-08,2.038e-08,38,6
7.574e-08,1.826e-08,35,3
8.903e-08,1.906e-08,43,3
7.706e-08,2.06e-08,50,10
7.62e-08,1.849e-08,42,5
9.4e-08,1.942e-08,53,4
7.697e-08,2.002e-08,47,7
8.722e-08,1.854e-08,41,5
7.7e-08,1.889e-08,49,4
7.883e-08,1.911e-08,51,4
9.079e-08,2.153e-08,58,9
7.635e-08,1.949e-08,50,7
9.357e-08,2.211e-08,53,8
7.831e-08,2.165e-08,50,8
7.84e-08,1.889e-08,45,5
9.276e-08,2.06e-08,58,8
7.745e-08,2.084e-08,49,5
9.219e-08,2.174e-08,56,7
7.991e-08,1.858e-08,60,3
8.014e-08,2.036e-08,63,8
9.696e-08,2.164e-08,55,7
7.991e-08,2.026e-08,61,6
9.127e-08,2.454e-08,58,15
8.197e-08,2.034e-08,62,4
8.264e-08,2.044e-08,67,6
9.404e-08,2.338e-08,58,14
8.309e-08,2.275e-08,60,11
7.969e-08,2.263e-08,67,10
9.513e-08,2.255e-08,58,10
8.062e-08,2.272e-08,72,11
9.2e-08,2.519e-08,67,14
8.086e-08,2.342e-08,68,11
8.047e-08,2.075e-08,67,6
9.545e-08,2.14e-08,70,7
7.978e-08,2.086e-08,74,8
9.275e-08,1.952e-08,62,4
8.089e-08,2.229e-08,64,11
8.25e-08,2.337e-08,72,11
9.418e-08,2.442e-08,65,11
8.081e-08,2.422e-08,66,12
1.013e-07,2.132e-08,75,6
8.447e-08,2.638e-08,77,13
8.706e-08,2.71e-08,74,18
1.0331e-07,2.72e-08,80,20
8.597e-08,2.331e-08,75,11
9.973e-08,2.544e-08,71,16
8.925e-08,2.301e-08,71,13
8.76e-08,2.402e-08,78,10
1.0602e-07,2.588e-08,66,12
9.746e-08,2.577e-08,80,12
9.515e-08,2.275e-08,71,10
1.086e-07,2.432e-08,76,15
1.018e-07,2.579e-08,79,13
1.0429e-07,2.38e-08,70,12
1.0103e-07,2.675e-08,84,19
1.1992e-07,2.359e-08,78,12
1.0814e-07,2.649e-08,76,13
9.759e-08,2.34e-08,73,10
1.0972e-07,2.866e-08,76,17
1.0518e-07,2.702e-08,74,16
9.975e-08,2.464e-08,68,15
1.2261e-07,2.599e-08,73,14
1.1371e-07,3.939e-08,85,13
1.1552e-07,3.548e-08,73,21
1.129e-07,3.032e-08,76,19
1.1538e-07,3.333e-08,69,20
1.4186e-07,3.424e-08,74,22
1.1049e-07,3.163e-08,66,21
2.2714e-07,2.788e-08,74,16
2.7716e-07,2.509e-08,74,9
2.1531e-07,3.252e-08,82,21
2.687e-07,2.383e-08,71,7
3.2531e-07,3.457e-08,78,19
2.3676e-07,5.332e-08,73,14
2.8676e-07,3.358e-08,72,23
3.3114e-07,3.207e-08,74,23
2.9199e-07,3.457e-08,77,27
2.5206e-07,2.657e-08,74,13
2.6853e-07,3.004e-08,71,20
2.6182e-07,2.999e-08,76,17
2.1229e-07,3.05e-08,72,20
3.1529e-07,3.453e-08,72,24
3.8427e-07,4.05e-08,73,22
3.6868e-07,4.057e-08,74,15
2.6623e-07,4.768e-08,78,23
2.9848e-07,2.994e-08,79,17
3.9063e-07,3.41e-08,77,20
2.6912e-07,3.172e-08,80,22
3.8336e-07,2.895e-08,74,19
4.5401e-07,3.432e-08,75,17
2.9346e-07,7.152e-08,71,27
3.9503e-07,2.951e-08,76,21
5.8894e-07,1.0747e-07,78,22
4.0436e-07,2.988e-08,73,19
4.8835e-07,3.827e-08,80,24
3.3203e-07,9.35e-08,78,25
2.9099e-07,1.0001e-07,71,22
4.2469e-07,4.607e-08,73,38
3.1862e-07,4.433e-08,76,31
3.7504e-07,3.939e-08,72,30
2.8219e-07,1.0043e-07,77,19
3.6248e-07,3.039e-08,61,20
3.0073e-07,4.765e-08,69,19
2.3328e-07,6.518e-08,78,20
3.2558e-07,3.839e-08,70,15
3.1102e-07,4.145e-08,74,17
2.6876e-07,6.223e-08,76,21
2.3585e-07,3.568e-08,72,23
2.5201e-07,4.034e-08,72,27
1.8166e-07,5.544e-08,78,24
2.2182e-07,7.147e-08,70,29
2.5262e-07,5.272e-08,75,26
2.7562e-07,6.906e-08,72,24
2.0571e-07,4.433e-08,77,29
1.7172e-07,8.301e-08,78,18
2.2936e-07,8.903e-08,85,24
1.5655e-07,3.453e-08,76,18
1.6007e-07,1.2592e-07,69,23
2.5631e-07,4.346e-08,80,28
2.5125e-07,1.0622e-07,76,26
2.1772e-07,6.841e-08,63,27
1.09e-07,1.0387e-07,78,19
1.4339e-07,5.415e-08,67,25
1.383e-07,4.701e-08,75,30
1.3708e-07,9.565e-08,72,27
1.8988e-07,4.749e-08,72,26
1.6588e-07,7.865e-08,76,31
1.6141e-07,6.226e-08,70,25
1.2305e-07,3.392e-08,77,23
1.2708e-07,6.053e-08,78,26
1.3412e-07,4.671e-08,77,23
1.2813e-07,5.15e-08,75,28
1.1541e-07,7.269e-08,75,30
1.4328e-07,3.654e-08,73,19
1.7941e-07,9.051e-08,75,29
1.6065e-07,1.162e-07,76,35
2.2235e-07,9.266e-08,69,33
1.8849e-07,3.504e-08,76,22
2.2075e-07,3.306e-08,80,24
1.5971e-07,4.771e-08,72,31
2.4107e-07,1.0224e-07,77,24
2.8696e-07,1.5535e-07,77,33
1.3171e-07,5.913e-08,77,27
2.7908e-07,1.2963e-07,79,31
1.9773e-07,6.221e-08,68,26
1.9579e-07,3.813e-08,78,26
2.0712e-07,5.869e-08,76,26
2.6657e-07,3.66e-08,79,27
1.8785e-07,3.023e-08,80,15
1.4676e-07,6.123e-08,77,28
1.6411e-07,8.838e-08,81,34
1.5168e-07,4.942e-08,83,29
1.4997e-07,2.871e-08,75,18
2.174e-07,6.817e-08,75,24
1.5394e-07,7.035e-08,74,33
1.6731e-07,5.6e-08,76,31
2.3779e-07,6.052e-08,71,34
2.3204e-07,8.865e-08,75,28
2.6784e-07,8.028e-08,74,34
1.7541e-07,8.593e-08,81,26
2.433e-07,1.2261e-07,82,31
1.8641e-07,7.101e-08,72,32
2.0066e-07,8.317e-08,65,30
1.9516e-07,9.788e-08,80,31
2.1569e-07,7.003e-08,77,27
1.6931e-07,1.0659e-07,76,30
1.7024e-07,3.875e-08,79,29
1.9174e-07,8.791e-08,75,32
2.2839e-07,4.318e-08,74,24
2.4087e-07,4.617e-08,79,23
1.3354e-07,1.169e-07,77,32
1.5869e-07,1.3232e-07,77,36
1.3229e-07,1.3016e-07,74,30
1.2337e-07,5.64e-08,70,31
1.3912e-07,9.625e-08,75,34
1.2437e-07,7.592e-08,83,24
1.3456e-07,6.665e-08,83,32
2.002e-07,4.839e-08,83,29
1.9559e-07,8.904e-08,79,27
1.6901e-07,3.361e-08,78,25
1.5044e-07,9.259e-08,78,39
1.4556e-07,5.237e-08,84,34
1.1147e-07,8.209e-08,84,31
1.1945e-07,5.736e-08,78,21
1.3113e-07,5.684e-08,84,33
1.1439e-07,8.86e-08,82,29
1.3498e-07,6.699e-08,89,37
1.3597e-07,7.659e-08,81,31
1.3418e-07,8.888e-08,76,46
1.4184e-07,1.2719e-07,88,29
1.5571e-07,1.1079e-07,88,37
1.5171e-07,1.1302e-07,83,36
1.5914e-07,8.774e-08,85,27
1.5347e-07,4.602e-08,84,37
2.0138e-07,6.691e-08,84,29
3.1339e-07,6.505e-08,87,29
5.9998e-07,4.598e-08,90,29
7.3153e-07,5.578e-08,93,38
7.7492e-07,4.113e-08,89,28
5.7296e-07,1.1977e-07,89,38
8.0262e-07,6.846e-08,96,36
4.8429e-07,4.299e-08,87,30
6.9227e-07,1.0576e-07,93,43
4.4621e-07,1.6228e-07,94,46
5.1538e-07,9.131e-08,92,37
4.5189e-07,1.1337e-07,93,41
4.4803e-07,4.428e-08,94,37
5.1225e-07,1.2408e-07,98,33
7.1101e-07,1.3562e-07,94,45
1.02214e-06,9.185e-08,99,36
1.84845e-06,1.088e-07,99,41
1.1907e-05,2.6032e-07,100,42
4.1097e-05,1.3093e-07,100,36
