Insert Times,Search Times,Insert Collisions, Search Collisions
1.0628e-07,2.254e-08,29,3
9.221e-08,2.037e-08,28,1
1.0563e-07,2.825e-08,28,5
8.943e-08,1.867e-08,25,1
8.644e-08,3.067e-08,25,6
1.0312e-07,3.88e-08,26,6
9.355e-08,2.128e-08,29,2
1.0201e-07,2.73e-08,30,5
8.167e-08,2.197e-08,23,2
8.225e-08,2.909e-08,24,2
1.0254e-07,3.388e-08,26,7
8.22e-08,2.639e-08,23,3
9.448e-08,2.19e-08,21,3
9.528e-08,3.083e-08,22,4
9.328e-08,3.042e-08,28,3
1.0166e-07,3.197e-08,23,8
8.9e-08,2.16e-08,25,3
8.947e-08,2.91e-08,31,4
9.653e-08,3.108e-08,23,7
9.293e-08,2.57e-08,23,4
1.0224e-07,2.45e-08,30,2
9.71e-08,2.332e-08,28,2
8.284e-08,3.04e-08,27,6
9.565e-08,2.75e-08,27,3
8.921e-08,2.655e-08,24,6
1.0494e-07,2.718e-08,32,5
9.497e-08,2.209e-08,26,3
8.657e-08,2.276e-08,26,3
9.366e-08,1.825e-08,24,0
9.147e-08,2.452e-08,36,4
1.0549e-07,2.292e-08,32,3
7.969e-08,2.411e-08,26,4
8.659e-08,2.986e-08,26,4
9.961e-08,1.823e-08,21,0
9.218e-08,2.828e-08,25,6
9.165e-08,2.682e-08,25,6
1.0218e-07,1.827e-08,26,0
9.098e-08,2.378e-08,27,5
9.27e-08,2.852e-08,20,4
8.632e-08,2.683e-08,31,5
7.817e-08,2.338e-08,22,4
1.072e-07,3.31e-08,24,7
8.566e-08,4.206e-08,24,8
1.0184e-07,1.974e-08,22,1
9.207e-08,2.315e-08,30,2
8.036e-08,2.226e-08,22,2
1.0001e-07,2.806e-08,26,4
8.474e-08,2.041e-08,22,2
9.509e-08,2.494e-08,22,2
9.473e-08,2.265e-08,26,2
7.604e-08,4.076e-08,24,6
9.426e-08,3.37e-08,18,4
9.761e-08,3.208e-08,34,3
8.967e-08,3.168e-08,27,6
9.81e-08,3.766e-08,28,8
9.26e-08,2.798e-08,32,3
1.051e-07,2.176e-08,29,2
7.779e-08,2.409e-08,20,3
7.651e-08,2.588e-08,23,4
9.991e-08,2.241e-08,31,3
8.854e-08,2.599e-08,23,1
1.049e-07,2.866e-08,30,4
8.195e-08,2.137e-08,24,1
8.066e-08,2.66e-08,28,5
9.149e-08,2.833e-08,25,6
7.725e-08,2.545e-08,17,4
9.352e-08,3.106e-08,26,5
8.463e-08,2.191e-08,22,2
9.146e-08,2.917e-08,38,2
9.339e-08,3.399e-08,22,7
8.824e-08,3.95e-08,30,8
9.887e-08,2.877e-08,25,3
7.316e-08,3.245e-08,15,5
7.844e-08,2.095e-08,21,1
9.348e-08,2.544e-08,23,3
8.789e-08,2.938e-08,26,6
7.869e-08,2.776e-08,18,5
9.773e-08,2.801e-08,20,5
8.111e-08,2.682e-08,23,4
9.414e-08,2.499e-08,21,4
8.497e-08,2.75e-08,28,3
8.469e-08,2.308e-08,27,2
9.879e-08,2.534e-08,23,3
8.865e-08,2.665e-08,28,2
1.0515e-07,2.19e-08,36,2
8.775e-08,2.304e-08,27,2
8.875e-08,3.429e-08,27,8
9.897e-08,2.953e-08,28,5
8.825e-08,2.029e-08,26,1
9.705e-08,2.025e-08,22,1
7.976e-08,3.341e-08,21,5
8.088e-08,2.352e-08,23,2
1.017e-07,2.704e-08,21,3
7.867e-08,2.797e-08,17,6
1.1251e-07,2.561e-08,32,4
8.829e-08,2.425e-08,26,1
8.824e-08,2.839e-08,33,4
1.0163e-07,2.864e-08,34,4
9.153e-08,2.489e-08,27,3
8.893e-08,2.365e-08,20,4
1.0217e-07,1.932e-08,27,0
8.719e-08,3.901e-08,30,5
1.0435e-07,2.468e-08,19,4
8.307e-08,2.444e-08,23,3
8.636e-08,2.057e-08,29,2
