Insert Times,Search Times,Insert Collisions, Search Collisions
8.469e-08,1.892e-08,23,1
1.0189e-07,1.878e-08,23,1
8.461e-08,1.957e-08,18,1
8.289e-08,1.827e-08,18,0
9.857e-08,2.493e-08,28,2
8.127e-08,1.829e-08,16,0
9.8e-08,1.821e-08,24,0
8.24e-08,1.909e-08,22,1
8.332e-08,1.92e-08,23,1
9.796e-08,1.8e-08,19,0
8.475e-08,1.764e-08,26,0
8.713e-08,1.817e-08,19,0
1.0614e-07,1.797e-08,25,0
8.694e-08,1.914e-08,23,1
1.0241e-07,1.855e-08,22,0
8.688e-08,1.893e-08,21,1
8.757e-08,1.758e-08,31,0
9.695e-08,2.005e-08,27,1
8.172e-08,1.84e-08,20,0
9.814e-08,1.929e-08,20,1
8.944e-08,1.869e-08,27,1
8.594e-08,2.023e-08,23,1
9.668e-08,1.812e-08,24,0
8.631e-08,2.06e-08,28,1
1.0508e-07,1.833e-08,24,0
8.643e-08,1.969e-08,22,1
8.562e-08,3.548e-08,29,2
1.0358e-07,1.977e-08,28,1
8.326e-08,1.981e-08,22,1
1.0061e-07,2.095e-08,23,2
9.637e-08,1.798e-08,26,0
9.079e-08,1.837e-08,26,0
1.1122e-07,2.207e-08,30,3
9.412e-08,2.061e-08,28,1
8.927e-08,2.572e-08,26,4
1.04e-07,1.858e-08,26,0
9.28e-08,1.915e-08,27,1
1.0416e-07,1.994e-08,31,1
8.958e-08,2.196e-08,31,3
9.089e-08,1.841e-08,28,0
1.0995e-07,1.94e-08,27,1
9.307e-08,2.257e-08,31,3
1.0288e-07,2.009e-08,31,1
1.0079e-07,2.223e-08,37,4
8.78e-08,2.106e-08,27,2
9.663e-08,1.831e-08,22,0
8.794e-08,1.858e-08,23,0
9.83e-08,1.845e-08,22,0
9.019e-08,1.991e-08,28,1
8.627e-08,1.937e-08,23,1
9.575e-08,1.881e-08,18,0
8.623e-08,1.858e-08,28,0
9.098e-08,2.123e-08,24,2
9.87e-08,2.008e-08,25,1
9.06e-08,2.038e-08,32,3
1.1513e-07,1.914e-08,38,1
8.96e-08,1.88e-08,30,0
9.352e-08,1.854e-08,32,0
1.0301e-07,2.12e-08,26,2
8.914e-08,2.233e-08,29,2
1.0894e-07,1.868e-08,29,0
9.402e-08,1.845e-08,29,0
9.51e-08,2.307e-08,26,1
1.1551e-07,1.964e-08,36,2
9.703e-08,2.074e-08,35,1
1.0361e-07,2.092e-08,26,1
1.0119e-07,2.341e-08,36,3
